authors,book_id,cover,subject,theme,name
"Л. С. Атанасян, В. Ф. Бутузов, С. Б. Кадомцев, Э. Г. Позняк, И. И. Юдина",22566,/system/attachments/files/000/051/899/preview/title.png,"{'id': 47, 'name': 'Геометрия'}",,Геометрия
Л. С. Атанасян,23040,/system/attachments/files/000/053/185/preview/title.png,"{'id': 47, 'name': 'Геометрия'}",,Геометрия
"Л. С. Атанасян, В. Ф. Бутузов, С. Б. Кадомцев, Э. Г. Позняк, И. И. Юдина",22566,/system/attachments/files/000/061/970/preview/title.png,"{'id': 47, 'name': 'Геометрия'}",,Геометрия
"Потоскуев Е.В., Звавич Л.И.",25178,/system_2/attachments/files/000/071/154/preview/b009760.jpg,"{'id': 47, 'name': 'Геометрия'}",,Математика: алгебра и начала математического анализа. Геометрия. 11 класс. Углубленный уровень. 
"Потоскуев Е.В., Звавич Л.И.",25179,/system_2/attachments/files/000/071/155/preview/b009780.jpg,"{'id': 47, 'name': 'Геометрия'}",,Математика: алгебра и начала математического анализа. Геометрия. 10 класс. Углубленный уровень. 
"Потоскуев Е.В., Звавич Л.И.",25178,/system_2/attachments/files/000/071/289/preview/b009760.jpg,"{'id': 47, 'name': 'Геометрия'}",,Математика: алгебра и начала математического анализа. Геометрия. 11 класс. Углубленный уровень. 
"Потоскуев Е.В., Звавич Л.И.",25178,/system_2/attachments/files/000/071/669/preview/9760.jpg,"{'id': 47, 'name': 'Геометрия'}",,Математика: алгебра и начала математического анализа. Геометрия. 11 класс. Углубленный уровень. 
"Мерзляк А.Г., Полонский В.Б., Якир М.С.",25115,/system_2/attachments/files/000/071/946/preview/8097.jpg,"{'id': 47, 'name': 'Геометрия'}",,Геометрия. 8 класс. 
"Мерзляк А.Г., Полонский В.Б., Якир М.С.",25116,/system_2/attachments/files/000/071/956/preview/9718.jpg,"{'id': 47, 'name': 'Геометрия'}",,Геометрия. 9 класс.
"Мерзляк А.Г., Полонский В.Б., Якир М.С.",25114,/system_2/attachments/files/000/071/942/preview/8096.jpg,"{'id': 47, 'name': 'Геометрия'}",,Геометрия. 7 класс. 
