authors	book_id	cover	subject	theme	name	kes1	kes2	kes3
С. М. Никольский, М. К. Потапов,  Н. Н. Решетников, А. В. Шевкин	25230	/system_2/attachments/files/000/077/491/preview/%D0%A4%D0%BE%D1%82%D0%BE__0225.jpg	{'id': 46, 'name': 'Алгебра'}		Алгебра	46	1	1
Драгомилов А.Г., Маш Р.Д.	25156	/system_2/attachments/files/000/070/691/preview/b009750.jpg	{'id': 57, 'name': 'Биология'}		Биология. 9 класс.	57	2	2
А. Я. Юдовская, П. А. Баранов, Л. М. Ванюшкина	23941	/system/attachments/files/000/056/638/preview/title.png	{'id': 41, 'name': 'История'}		Всеобщая история. Иcтория Нового времени, 1500-1800.	41	3	3
Сороко-Цюпа О. С., Сороко-Цюпа А.О.	24120	/system/attachments/files/000/065/194/preview/title.png	{'id': 41, 'name': 'История'}		Всеобщая история. Новейшая история. 9 класс	41	4	4
Сороко-Цюпа О. С., Сороко-Цюпа А.О.	24120	/system/attachments/files/000/057/364/preview/title.png	{'id': 41, 'name': 'История'}		Всеобщая история. Новейшая история. 9 класс	41	4	4
Бабина Н. Ф.	25282	/system_2/attachments/files/000/077/650/preview/Babina_Vupolnenie_proektov_obl.jpg	{'id': 19, 'name': 'Технология'}		Выполнение проектов : учебно-методическое пособие	19	5	5
Лаборатория электронных учебников	5341	/system/attachments/files/000/043/894/preview/00000100.png	{'id': 41, 'name': 'История'}		Демонстрационный учебник	41	6	6
Челышева И. В., Мурюкина Е. В., Челышев К. А.	25284	/system_2/attachments/files/000/077/658/preview/Chelusheva_Mediaobrazovanie_obl.jpg	{'id': 3230, 'name': 'Компьютерная технология'}		Зарубежное медиаобразование: современные тенденции развития	3230	7	7
Баранова К.М., Дули Д., Копылова В.В., Эванс В, Миллруд Р.	24470	/system/attachments/files/000/060/330/preview/title.png	{'id': 4, 'name': 'Английский язык'}		Звездный английский. Английский язык. 5 класс.	4	8	8
Баранова К.М., Дули Д., Копылова В.В., Эванс В, Миллруд Р.	24470	/system/attachments/files/000/064/171/preview/title.png	{'id': 4, 'name': 'Английский язык'}		Звездный английский. Английский язык. 5 класс.	4	8	8
Баранова К.М., Дули Д., Копылова В.В., Эванс В, Миллруд Р.	24470	/system_2/attachments/files/000/076/580/preview/title.png	{'id': 4, 'name': 'Английский язык'}		Звездный английский. Английский язык. 5 класс.	4	8	8
