subjectId;levelId;kesId;parentKesId;subjectName;uoName;kesName
1;1;37699;;Русский язык;НОО;
1;1;37700;37699;Русский язык;НОО;Виды речевой деятельности
1;1;37701;37700;Русский язык;НОО;Слушание
1;1;37702;37701;Русский язык;НОО;Цели и ситуации устного общения
1;1;37703;37702;Русский язык;НОО;Восприятие звучащей речи
1;1;37704;37702;Русский язык;НОО;Понимание на слух информации, содержащейся в тексте
1;1;37705;37702;Русский язык;НОО;Определение основной мысли текста, передача текста по вопросам
1;1;37706;37700;Русский язык;НОО;Говорение
1;1;37707;37706;Русский язык;НОО;Языковые средства
1;1;37708;37707;Русский язык;НОО;Диалогическая форма речи (практическое овладение)
1;1;37709;37707;Русский язык;НОО;Монологическая форма речи ( в соотвествии с учебной задачей)
1;1;37710;37707;Русский язык;НОО;Нормы речевого этикета
1;1;37711;37700;Русский язык;НОО;Чтение
1;1;37712;37711;Русский язык;НОО;Учебный текст
1;1;37713;37712;Русский язык;НОО;Выборочное чтение
1;1;37714;37712;Русский язык;НОО;Нахождение в тексте информации, заданной в явном виде
1;1;37715;37712;Русский язык;НОО;Формулирование простых выводов на основе информации в тексте
1;1;37716;37712;Русский язык;НОО;Интерпретация и обобщение содержащейся в тексте информации
1;1;37717;37712;Русский язык;НОО;Анализ и оценка содержания, языковых особенностей и структуры текста
1;1;37718;37700;Русский язык;НОО;Письмо
1;1;37719;37718;Русский язык;НОО;Письмо букв, буквосочетаний, слогов, слов, предложений
1;1;37720;37719;Русский язык;НОО;Разборчивое, аккуратное письмо с учетом гигиенических требований
1;1;37721;37719;Русский язык;НОО;Списывание, письмо под диктовку в соответствии с изученными правилами.
1;1;37722;37719;Русский язык;НОО;Письменное изложение содержания прослушанного и прочитанного текста (подробное, выборочное).
1;1;37723;37719;Русский язык;НОО;Создание небольших собственных текстов (сочинений)
1;1;37724;37699;Русский язык;НОО;Обучение грамоте
1;1;37725;37724;Русский язык;НОО;Фонетика.
1;1;37726;37725;Русский язык;НОО;Звуки речи
1;1;37727;37726;Русский язык;НОО;Установление числа и последовательности звуков в слове
1;1;37728;37726;Русский язык;НОО;Сопоставление слов, различающихся одним или несколькими звуками
1;1;37729;37725;Русский язык;НОО;Различение гласных и согласных звуков, гласных ударных и безударных, согласных твердых и мягких, звонких и глухих
1;1;37730;37729;Русский язык;НОО;Звуки гласные. Понятие. Образование.
1;1;37731;37729;Русский язык;НОО;Звуки согласные. Понятие. Образование.
1;1;37732;37729;Русский язык;НОО;Звуки ударные и безударные
1;1;37733;37729;Русский язык;НОО;Мягкие  согласные звуки
1;1;37736;37729;Русский язык;НОО;Звонкие согласные звуки
1;1;37737;37729;Русский язык;НОО;Глухие согласные звуки
1;1;37740;37725;Русский язык;НОО;Слог как минимальная произносительная единица
1;1;37741;37740;Русский язык;НОО;Понятие слога
1;1;37742;37740;Русский язык;НОО;Деление слов на слоги
1;1;37743;37740;Русский язык;НОО;Определение места ударения
1;1;37744;37724;Русский язык;НОО;Графика
1;1;37745;37744;Русский язык;НОО;Различение звука и буквы: буква как знак звука
1;1;37746;37745;Русский язык;НОО;Овладение позиционным способом обозначения звуков буквами
1;1;37747;37745;Русский язык;НОО;Буквы е, ё, ю, я,и-показатели мягкости согласных
1;1;37748;37745;Русский язык;НОО;Буквы о,а, у, э, ы -показатели твердости согласных
1;1;37749;37745;Русский язык;НОО;Буква Ь как показатель мягкости согласного звука
1;1;37750;37745;Русский язык;НОО;Функции букв я, е, ё, ю.
1;1;37754;37724;Русский язык;НОО;Чтение.
1;1;37755;37754;Русский язык;НОО;Формирование навыка слогового чтения
1;1;37756;37755;Русский язык;НОО;Плавное слоговое чтение
1;1;37757;37755;Русский язык;НОО;Чтение целыми словами
1;1;37758;37755;Русский язык;НОО;Осознанное чтение слов, словосочетаний, предложений, коротких текстов с интонациями и в соответствии со знаками препинания
1;1;37759;37755;Русский язык;НОО;Орфоэпическое чтение при переходе к чтению целыми словами
1;1;37760;37755;Русский язык;НОО;Орфографическое чтение как средство самоконтроля при письме под диктовку и при списывании
1;1;37761;37724;Русский язык;НОО;Письмо
1;1;37762;37761;Русский язык;НОО;Начертание букв
1;1;37763;37762;Русский язык;НОО;Гигиенические требования при письме.
1;1;37764;37762;Русский язык;НОО;Письменные прописные(заглавные) и строчные буквы
1;1;37765;37762;Русский язык;НОО;Письмо букв, буквосочетаний, слогов, слов, предложений
1;1;37766;37762;Русский язык;НОО;Разборчивое и аккуратное письмо
1;1;37767;37762;Русский язык;НОО;Письмо под диктовку слов и предложений, написание которых не расходится с их произношением.
1;1;37768;37762;Русский язык;НОО;Усвоение приемов и последовательности правильного списывания текста.
1;1;37769;37761;Русский язык;НОО;Небуквенные графические средства
1;1;37771;37699;Русский язык;НОО;Развитие речи
1;1;37772;37771;Русский язык;НОО;Устная и письменная речь
1;1;37778;37772;Русский язык;НОО;Диалогическая форма речи
1;1;37779;37778;Русский язык;НОО;Выражение собственного мнения, его аргументация
1;1;37780;37778;Русский язык;НОО;Овладение основными умениями ведения разговора (начать, поддержать, закончить разговор, привлечь внимание и т. п.).
1;1;37781;37778;Русский язык;НОО;Приветствие, прощание, извинение, благодарность, обращение с просьбой
